objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
24113,CLUB DE JUBILADOS Y PENSIONISTAS MONTEOLIVETE,727041.191,4370986.995,003508,3,ssociales,3,34080,11,,963953886,{A8DB4CA4-E94C-4F29-A3DB-ADC40DF19082},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24116,MUSEO DE HISTORIA DE VALÈNCIA,723032.62547107,4372647.38348292,005729,10,Test Admin,3,0,42,No tiene,963701105,{65A37E24-7F43-4447-9848-8A4F50DE0E6A},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24117,REFUGIO ANTIAÉREO DE SERRANOS,725647.804,4373139.162,010086,10,Desarrollo Admin,3,71070,25,No tiene,962081390,{ED550633-FA9D-4C2A-BE32-242E72A68922},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24118,MUSEO HISTÓRICO MUNICIPAL,725603.83208016,4372165.66696193,004291,10,Desarrollo Admin,3,17760,1,No tiene,962081181,{9F966337-5684-4041-A1FB-FA1A4D86675E},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24119,ARI-PERÚ. ASOCIACIÓN DE REFUGIADOS E INMIGRANTES PERUANOS,725389.089,4373916.651,009482,3,Test Admin,3,24600,3,No tiene,661239640,{D672EBA3-79F3-4AE2-A734-7D180D94DA64},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24120,MUSEO DE CIENCIAS NATURALES,726430.23510356,4373491.95235573,004295,10,Desarrollo Admin,3,33090,S/N,No tiene,962084313,{58CCD06D-0CA2-469C-9D6B-D7AEA7A8D981},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24121,ATARAZANAS,729508.08119276,4371573.45417407,000066,22,Desarrollo Admin,3,39360,S/N,,963525478,{8CCD436B-CA02-466F-9D49-16DCF3C800F0},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24122,CASA MUSEO BLASCO IBÁÑEZ,730109.01976234,4373953.39506178,001561,10,Desarrollo Admin,3,37350,159,No tiene,962082586,{878FAABD-3814-48DD-B484-E997FF93145F},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24123,REFUGIO ANTIAÉREO DE MASSARROJOS,723100.48556227,4379800.41463127,010283,10,Paula Pérez Payá,3,26670,8,,,{E0ED8108-9F96-42F5-B6AC-230F2542166D},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24124,APARCAMIENTO DE EL CORTE INGLÉS - PINTOR SOROLLA,,,,22,Test Admin,3,0,1,,963159500,{388E3AF4-C0D5-40D0-A076-AC3274B581FB},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24125,MERCADO MUNICIPAL ROJAS CLEMENTE,725001.76,4372740.66,004722,9,Test Admin,3,65340,S/N,No tiene,,{8FADB9BE-0878-40F8-B3DA-ACEB4B3B5D86},ADM_GIS,20220908104230,appinfociudad,20221219130010
24126,FUNDACIÓN AGRICULTORES SOLIDARIOS,725867.819,4372586.736,009465,3,Test Admin,3,46080,3,No tiene,647587928,{5811D1DD-9CBF-4FBD-8CAC-1F2C19699729},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24127,APARCAMIENTO PLAZA ESTEBAN DOLZ DE CASTELLAR,,,,22,Test Admin,3,0,s/n,,963931546,{F003955E-1C90-4EE4-AD61-7CA2D3F81D26},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24128,ASIPREV. ASOCIACIÓN DE SUBSAHARIANOS PARA LA INTEGRACIÓN Y LA PROMOCIÓN DEL RETORNO VOLUNTARIO,727957.594,4371553.392,009486,3,Test Admin,3,49080,1,No tiene,634176149,{E2A1A329-7BB7-4378-9F01-A733BA29E630},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24129,MÉDICOS DEL MUNDO COMUNIDAD VALENCIANA,,,005898,3,Test Admin,3,0,14,,963916767,{BB539E2A-793A-4B46-90A0-E9DDD0266FDA},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24131,UNIDAD DE IGUALDAD TORREFIEL - ORRIOLS,,,010361,3,Amparo Gamir Martinez,3,81268,5,20,963211653,{43CD9458-C665-49B7-8DE7-3166383723FA},appinfociudad,20230103081357,ADM_GIS,20230108095318
24132,AYUNTAMIENTO. TABACALERA,726945.18231381,4372672.87098707,007797,11,Desarrollo Admin,3,5100,11,No tiene,963525478,{CAF31009-7D80-465B-BC16-9EF686944849},ADM_GIS,20220908104230,appinfociudad,20221021123526
24133,COLEGIO OFICIAL DE AGENTES Y COMISIONISTAS DE ADUANAS,,,002716,22,Test Admin,3,0,12,,963670774,{30A7C68B-8133-4751-B629-09C7DB53F72B},ADM_GIS,20220908104230,ADM_GIS,20220908104230
24134,OFICINA DE NO DISCRIMINACIÓN DE VALÈNCIA - ONDIS,,,010355,3,Maria Del Carmen Troya Ramirez,3,4770,48,,963210960,{A87A11E1-1683-4F44-9AA4-78851C5479CD},appinfociudad,20221018104739,ADM_GIS,20230108095318
24135,ASOCIACIÓN ES POSIBLE,724089.065,4375288.056,009516,3,Test Admin,3,68100,10,No tiene,630424150,{AA1D96AA-62F0-4AD4-9A8D-4619DA0806F2},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24136,ASOCIACIÓN  POR TI MUJER,727802.018,4373055.649,009507,3,Test Admin,3,2430,12,No tiene,963476774,{1C9EDC54-F6A9-407A-8625-3216288710AD},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24137,ASOCIACIÓN HINDÚ DE VALENCIA,724264.208,4373966.462,009724,3,Test Admin,3,49620,8,No tiene,647950905,{D6601C68-5672-4BDA-9C52-744CDCB14698},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24138,TARONJA SENCERA,,,010352,3,Admin Valencia,3,13800,91,20,658452673,{126B061F-F752-4009-8457-164A7E15D642},appinfociudad,20220926122128,ADM_GIS,20230108095318
24139,VALENCIA ACOGE,725955.282,4374635.863,006723,3,Test Admin,3,62610,254,,963660168,{1796A547-6DD3-4218-B7B8-B09EC1F0E78E},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24140,AUTME. ASOCIACIÓN DE UNIVERSITARIOS Y TITULADOS MARROQUÍES EN ESPAÑA,,,009702,3,Test Admin,3,0,S/N,,677613950,{AB1253D7-7AF3-4696-A369-4D37FA2D2363},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24141,ASOCIACIÓN DE JÓVENES MUSULMANES DE VALENCIA,726149.372,4374739.006,009503,3,Test Admin,3,6870,8,No tiene,963603330,{3E14E459-2002-4F19-846A-7AA36469BC96},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24142,CEAR - COMISIÓN DE AYUDA AL REFUGIADO - PV,723907.29,4372471.575,003405,3,Test Admin,3,31320,21,No tiene,963162477,{1284B27A-C598-47E2-9FB5-6AD80DDA4C06},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24143,ASOCIACION CORAZONES UNIDOS DE VALENCIA - ESPAÑA,,,010195,3,Julian Junquero,1,6750,S/N,,631875209,{18B60197-1CE3-4481-B7A0-CED97235F20B},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24144,ASOCIACIÓN PARA EL DESARROLLO SOCIAL VALENCIANO - ADESO,,,001418,3,Test Admin,3,26370,32,,963376032,{F87DAF3E-2368-4B4F-AEC1-76602E279DB9},appinfociudad,20220920120758,ADM_GIS,20230108095318
